New Site Code,Asset Number,Catchment, Action Number,Site Number ,Waterway Action Plan ,Landholder,Contact,Action Summary ,Action ,Priority in WAP,Numeric Priority (Based on WAP),Lead Agency,Easting GDA 94 (start of works only),Northing GDA 94  (start of works only), Cost Estimate of Works , Actual Cost of Works , Status ,Inpsected ,Comments,Unnamed: 20,Unnamed: 21
WAP_2025_08_00564,147,Unknown,S4/7,Unknown,Wattle Creek WAP 2005,Robert Vance,5356 9343,Repair drop structure,Stability,High,3,WCMA,685730,590589,"$2,400.00","$2,000.00",Completed,,,,
WAP_2025_08_00565,,Reach 8,S4/8,R8/2,Wattle Creek WAP 2005,Unknown,Null,Undertake adjustment and follow up works,Stability,High,3,,687988,5907906,"$30,000.00",$-,Unknown,2014-15,Wattle Creek Rd stabilisation works need follow up adjustments to settle the site down,,
WAP_2025_08_00566,,Reach 9,S4/9,R9/2,Wattle Creek WAP 2005,Unknown,Null,Install chute refurbish old SCA drop structure and undertake bank stabilisation and revegetation works,Stability,Very High,4,Refer to Council,690400,5901000,"$35,000.00",$-,Refer to Other Agency,2014-15,"Large erosion head at Browns Road ford eroding at toe and outflanking is possible. Inspected 14/15 - Erosion d/s of culvert, no immeidate threat to culvert, council project? Prioirty changed from Very High",,
WAP_2025_08_00567,,Reach 1,S5/1,R1/2/1,Wattle Creek WAP 2005,Luke Austin,0427 816 292,Construct a rock stabilised de-energisation pool and revegetate,Stability,High,3,WCMA,676878,5907583,"$18,000.00",$-,Unknown,,Green Creek road culvert causing scouring in channel downstream of Perry-Jones Road,,
WAP_2025_08_00568,,Reach 3,S5/2,R3,Wattle Creek WAP 2005,Unknown,Null,Stabilise banks and revegetate,Revegetation,Medium,2,WCMA,680968,5910987,"$12,000.00",$-,Unknown,2014-15,Bank erosion at Woodlands Road ford crossing. Fence and revege only,,
WAP_2025_08_00569,,Reach 3,S5/3,R3/1/3,Wattle Creek WAP 2005,Unknown,Null,Support on going DPI program,Revegetation,Medium,2,WCMA,683054,5917657,$-,$-,Unknown,,Catchment revegetation and rabbit programs to reduce runoff,,
WAP_2025_08_00570,,Reach 4,S5/4,R4/1/1,Wattle Creek WAP 2005,Unknown,Null,"Establish de-energisation pool, chutes, groyne protection for banks, handle overbank re-entry, fence and revegetate channel",Stability,Very High,4,,687023,5909127,"$24,000.00",$-,Refer to Other Agency,2014-15,Deep incision and channelisation due to past headward erosion and bank slumping  leading to destabilisation of Ararat St Arnaud road. Inspected 14/15 - Existing log structure at risk of failing. 1-1.5m headcut threatenng culverts,,
WAP_2025_08_00571,,Unknown,S5/4,Unknown,Wattle Creek WAP 2005,Unknown,Null,Stabilise drop structure,Stability,High,3,,687023,5909127,"$120,000.00",$-,Refer to Other Agency,,WCMA to advise Council of future work requirement and possible cost sharing,,
WAP_2025_08_00572,,Reach 5,S5/6,R5/1/2,Wattle Creek WAP 2005,Unknown,Null,"Establish channel armour and form low chutes, re-entries, fence and revegetate channels",Stability,Very High,4,,691400,590900,"$30,000.00",$-,Unknown,,Incision of channelised drain through steep foothill property into multiple gullies in foothill fans,,
WAP_2025_08_00573,150,Unknown,S5/7,Unknown,Wattle Creek WAP 2005,David Hodgett,5356 9328,Repair drop structure,Stability,High,3,WCMA,684511,5904782,"$12,850.00","$9,120.00",Completed,,,,
WAP_2025_08_00574,,Reach 7,S5/7,R7/3,Wattle Creek WAP 2005,Unknown,Null,Monitor and seek to intervene if creek starts to re-erode after a major event,Stability,Low,1,,Reach,Reach,$-,$-,Unknown,,Old channel has small insidious erosion due to stock pressure and lack of vegetation (land owner unwilling to fence and revegetate),,
WAP_2025_08_00575,,Reach 9,S5/9,R9/2,Wattle Creek WAP 2005,Unknown,Null,Install chutes  and undertake bank stabilisation and revegetation works,Stability,Very High,4,,690400,5901000,"$80,000.00",$-,Unknown,,Series of erosion heads  and bank erosion at Landsborough Road 2.5 Km u/s of Shays Flat Rd,,
WAP_2025_08_00576,,Reach 1,S6/1,R1/2/1,Wattle Creek WAP 2005,Keiran Devery,5357 3242,"Construct chute and stabilise banks, revegetate and fence",Stability,Medium,2,,676878,5907583,"$33,600.00",$-,Completed,2014-15,"Old SCA drop structure in bad repair causing bed and bank erosion. Inspected 14/15, Active headcuts and bank erosion at SCA structures. 2 Structures outflanked, 1 at risk of being outflanked",,
WAP_2025_08_00577,,Reach 3,S6/3,R3/1 & R3/2/5,Wattle Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Medium,2,,Multiple,Multiple,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,
WAP_2025_08_00578,,Reach 5,S6/5,R5/7/1,Wattle Creek WAP 2005,Unknown,Null,Establish a de-energisation chute and stablise channel downstream,Stability,Low,1,,697500,591150,"$8,000.00",$-,Unknown,,Scour hole d/s of Barkly Gap Road threatening to undermine the road culvert and head drop creating erosion d/s,,
WAP_2025_08_00579,,Reach 3,S7/3,R3/1/1,Wattle Creek WAP 2005,Parry,Null,Stabilise bed and banks and revegetate,Stability,Medium,2,,6815000,5918500,"$12,500.00",$-,Completed,,Culvert scour downstream of Kanya Road crossing. Parry Site,,
WAP_2025_08_00580,,Reach 4,S7/4,"R4/2/1, R4/2/2",Wattle Creek WAP 2005,Unknown,Null,"Establish de-energisation pool, chutes, groyne protection for banks, handle overbank re-entry, fence and revegetate channel",Stability,High,3,,687300,5912000,"$120,000.00",$-,Completed,,Deep incision of channelised drain with old SCA drop structure at Ararat St. Arnaud Road. Refer Bibby Design Report,,
WAP_2025_08_00581,,Reach 5,S7/5,R5/1/2,Wattle Creek WAP 2005,Unknown,Null,"Establish de-energisation pool, chutes, groyne protection for banks, handle overbank re-entry, fence and revegetate channel",Stability,Very High,4,,691384,5910073,"$24,000.00",$-,Unknown,2014-15,"Deep incision and channelisation and headward erosion and bank slumping  leading to destabilisation of tributaries d/s of Stawell Avoca Road. Inspected 14/15 - Erosion heads migrating u/s, chain of pinds effect",,
WAP_2025_08_00582,,Reach 3,S8/3,R3/2/5,Wattle Creek WAP 2005,Unknown,Null,Monitor tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Medium,2,,Multiple,Multiple,$-,$-,Unknown,,Minor instabilities due to large dam construction on this reach d/s of Kanya Road,,
WAP_2025_08_00583,,Reach 4,S8/4,"R4/2/1, R4/2/2",Wattle Creek WAP 2005,Kevin Wilde,Null,"Establish chutes, groyne protection for banks, handle overbank re-entries, fence and revegetat channels",Stability,Very High,4,,689000,5911000,"$250,000.00",$-,Defered,,Deep incision of channelised drain through property into multiple gullies in foothills,,
WAP_2025_08_00584,,Reach 5,S8/5,R5/7/2,Wattle Creek WAP 2005,Unknown,Null,Stabilise the road ford and 500m d/s,Stability,Medium,2,,697000,590950,"$40,000.00",$-,Unknown,,Marshall Lane ford unstable and impacted on by high energy and large bed loads of gravel derived from disturbances of old mining areas,,
WAP_2025_08_00585,,Reach 4,S9/4,"R4/3, R4/4, R4/5",Wattle Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Medium,2,,Multiple,Multiple,$-,$-,Unknown,,Minor instabilities in foothill tributary channels  from Navarre Hill - some past SCA works,,
WAP_2025_08_00586,,Reach 5,S9/5,R5/7/2,Wattle Creek WAP 2005,Unknown,Null,Construct 3 drop structures d/s of the road and provide a  chute for the ford to ensure its integrity. (provide safety Signage),Stability,Very High,4,WCMA,697800,59090,"$45,000.00",$-,Completed,,Stewarts Road Ford has a very deep active erosion head at the road which has been stabilsied many times,,
WAP_2025_08_00587,,Reach 1,V1/1,R1,Wattle Creek WAP 2005,Unknown,Null,Fence as per E1/1 and assist with revegetation of,Fencing & Revegetation,High,3,WCMA,671920,5909547,"$50,000.00",$-,Unknown,,Remnant riparian forest and bank vegetation under threat from uncontrolled grazing and large gaps,,
WAP_2025_08_00588,,Reach 1,V1/2,R1,Wattle Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00589,,Reach 3,V1/3,R3,Wattle Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$62,500.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00590,,Reach 4,V1/4,R4,Wattle Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$87,500.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00591,,Reach 5,V1/5,R5,Wattle Creek WAP 2005,Unknown,Null,Investigate techniques to lower the saturation levels in the riparian areas,Investigate,Very High,4,,Reach,Reach,"$12,000.00",$-,Unknown,,Sediment saturation levels and salt affecting the riparian community at the junction of R54/1 and downstream,,
WAP_2025_08_00592,,Reach 6,V1/6,R6,Wattle Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,Reach,Reach,"$112,500.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00593,,Reach 6,V1/6,R6,Wattle Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,Reach,Reach,"$112,500.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00594,,Reach 7,V1/7,R7,Wattle Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,Reach,Reach,"$75,000.00",$-,Unknown,,"Some good riparian vegetation but most thin , discontinuous. Remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00595,,Reach 8,V1/8,R8,Wattle Creek WAP 2005,Unknown,Null,Fence as per E1/8 and assist with revegetation of riparian areas,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$87,500.00",$-,Unknown,,Remnant riparian forest and bank vegetation under threat from uncontrolled grazing and large gaps,,
WAP_2025_08_00596,,Reach 8,V1/9,R8,Wattle Creek WAP 2005,Unknown,Null,Fence as per E1/9 and assist with revegetation of riparian areas,Fencing & Revegetation,High,3,WCMA,various,various,"$87,500.00",$-,Unknown,,Remnant riparian forest and bank vegetation under threat from uncontrolled grazing and large gaps,,
WAP_2025_08_00597,,Reach 1,V2/1,R1/2/1 &R 1/2/3,Wattle Creek WAP 2005,Unknown,Null,Fence & revegetate,Fencing & Revegetation,Medium,2,WCMA,Multiple,Multiple,"$30,000.00",$-,Unknown,,Greens swamp revegetation program going well but needs extension upstream in to tributaries,,
WAP_2025_08_00598,,Reach 2,V2/2,R2/2/1,Wattle Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,Medium,2,WCMA,Multiple,Multiple,"$20,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00599,,Reach 3,V2/3,R3/1/1,Wattle Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,Medium,2,WCMA,Multiple,Multiple,"$75,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00600,,Reach 3,V2/4,R3/1/1,Wattle Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,Medium,2,WCMA,Multiple,Multiple,"$100,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00601,,Reach 5,V2/5,R5,Wattle Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00602,,Reach 7,V2/7,R7,Wattle Creek WAP 2005,Unknown,Null,Negotiate with owner to fence and manage site for vegetation and water quality purposes,Fencing & Revegetation,Medium,2,WCMA,681291,5909758,"$12,500.00",$-,Unknown,,Remnant of Old Howard Creek floodplain swamp with good sedge cover,,
WAP_2025_08_00603,,Reach 8,V2/8,all,Wattle Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,"$60,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00604,,Reach 9,V2/9,all,Wattle Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,Medium,2,WCMA,various,various,"$40,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00605,,Reach 1,V3/1,R1,Wattle Creek WAP 2005,Unknown,Null,Undertake fencing and revegetation program to create suitable linkage asset,Fencing & Revegetation,High,3,WCMA,Reach,Reach,$-,$-,Unknown,,Lack of corridoor between Greens Swamp and riparian area of Heifer Station Creek,,
WAP_2025_08_00606,,All Reaches,V3/5,All Reaches,Wattle Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,"$150,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00607,,Reach 6,V3/6,R6,Wattle Creek WAP 2005,Unknown,Null,Protect vegetation through fencing and other support programs i.e. Land for Wildlife.   Educate landholders to the support programs availible.,Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,$-,$-,Unknown,,High value remnant vegetation in upper catchment to be preserved,,
WAP_2025_08_00608,,Reach 7,V3/7,all,Wattle Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,"$75,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00609,,Reach 8,V3/8,Unknown,Wattle Creek WAP 2005,Unknown,Null,Protect vegetation through fencing and other support programs i.e. Land for Wildlife.  Educate landholders to support programs availible.,Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,$-,$-,Unknown,,High value remnant vegetation in upper catchment to be preserved,,
WAP_2025_08_00610,,Reach 9,V3/9,Unknown,Wattle Creek WAP 2005,Unknown,Null,Weed removal works,Weed Control,Low,1,,Reach,Reach,$-,$-,Unknown,,Weed cover in and around Landsborough requires treatment before threat escapes into adjoining catchment,,
WAP_2025_08_00611,,Multiple,V4/5,Various,Wattle Creek WAP 2005,Unknown,Null,Protect vegetation through fencing and other support programs i.e. Land for Wildlife.  Educate landholders as to the support programs availible.,Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,$-,$-,Unknown,,High value remnant vegetation in upper catchment to be preserved,,
WAP_2025_08_00612,,Reach 9,V4/9,Unknown,Wattle Creek WAP 2005,Unknown,Null,Fencing and removal of stock  pressure,Fencing,Low,1,WCMA,Reach,Reach,$-,$-,Unknown,,Remnant vegetation remaining in riparian area is under pressure from stock,,
WAP_2025_08_00613,,Reach 9,V5/9,Unknown,Wattle Creek WAP 2005,Unknown,Null,Protect vegetation through fencing and other support programs i.e. Land for Wildlife.  Educate landholders as to the support programs availible.,Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,$-,$-,Unknown,,High value remnant vegetation in upper catchment to be preserved,,
WAP_2025_08_00614,,Reach 1,W 1/1,R1,Wattle Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,Salinity of pools elevated,,
WAP_2025_08_00615,,Reach 1,W 1/2,R1,Wattle Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,Salinity of pools elevated,,
WAP_2025_08_00616,,Reach 3,W 1/3,R3/2/1,Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to improve water quality treatment performance of swamp through insertion of wall and orifices,Water Quality,Medium,2,,Multiple,Multiple,$-,$-,Unknown,,High suspended solids and turbidity in Batcocks Scour being treated in old swamp and could be improved,,
WAP_2025_08_00617,,Multiple,W 1/5,"R/3/1, R5/4/1, R5/5/1, R5/6/1",Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to improve sediment and water quality treatment performance through the establishment of formal sediment traps on the tributaries upstream of the mainstem,Water Quality,Urgent,5,,Various,Various,"$15,000.00",$-,Unknown,,"High bed load, suspended solids and turbidity in lateral tributaries having direct impact on the mainstem of Wattle Creek",,
WAP_2025_08_00618,,Reach 6,W 1/6,"R6/8, R6/1",Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to improve sediment and water quality treatment performance through the establishment of formal sediment traps on the tributaries upstream of the mainstem,Water Quality,Very High,4,,Reach,Reach,"$15,000.00",$-,Unknown,,"High bed load, suspended solids and turbidity in lateral tributaries having direct impact on the mainstem of Wattle Creek",,
WAP_2025_08_00619,,Reach 3,W 1/7,R3/2/1,Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to improve water quality treatment performance of swamp through insertion of wall and orifices,Water Quality,Medium,2,,685500,591100,$-,$-,Unknown,,High suspended solids and turbidity in Batcocks Scour being treated in old swamp and could be improved,,
WAP_2025_08_00620,,Reach 4,W1/4,"R4/2/1, R4/2/3",Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to improve water quality treatment performance of swamp through insertion of wall and orifices,Water Quality,Medium,2,,688000,591500,"$25,000.00",$-,Unknown,,High suspended solids and turbidity in tributaries being attenuated by old swamp and could be improved,,
WAP_2025_08_00621,,Multiple,W1/8,multiple,Wattle Creek WAP 2005,Unknown,Null,Fence & revegetate,Fencing & Revegetation,Medium,2,WCMA,Various,Various,"$60,000.00",$-,Unknown,,"Eroding channels in high slaking soils producing salt, sediment and turbidity",,
WAP_2025_08_00622,,Multiple,W1/9,multiple,Wattle Creek WAP 2005,Unknown,Null,Fence & revegetate,Fencing & Revegetation,Medium,2,WCMA,Various,Various,"$60,000.00",$-,Unknown,,"Eroding channels in high slaking soils producing salt, sediment and turbidity",,
WAP_2025_08_00623,,Reach 1,W2/1,R1/2/1,Wattle Creek WAP 2005,Unknown,Null,Fence & revegetate,Fencing & Revegetation,Medium,2,WCMA,678438,5905893,"$60,000.00",$-,Unknown,,"Eroding channel in high slaking soils producing salt, sediment and turbidity",,
WAP_2025_08_00624,,Reach 2,W2/2,R2/1/1,Wattle Creek WAP 2005,Unknown,Null,Fence & revegetate,Fencing & Revegetation,Medium,2,WCMA,674897,5913928,"$15,000.00",$-,Unknown,,"Eroding channel in high slaking soils and saline discharge area producing salt, sediment and turbidity",,
WAP_2025_08_00625,,Reach 5,W2/5,R5/7/2,Wattle Creek WAP 2005,Unknown,Null,Undertake sediment testing for heavy metals,Water Quality,High,3,,696500,591000,"$2,000.00",$-,Unknown,,Possible heavy metal contamination in sediments resulting from previous mining activity,,
WAP_2025_08_00626,,Reach 5,W2/6,R5/7/2,Wattle Creek WAP 2005,Unknown,Null,Undertake sediment testing for heavy metals,Water Quality,Very High,4,,696000,591020,"$5,000.00",$-,Unknown,,Old mining area and signs of battery discharges to stream  may indicate heavy metal contamination in sediments,,
WAP_2025_08_00627,,Multiple,W2/8,multiple,Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to enhance stream stability and Turbidity reduction performance through establishment of sediment traps.,Water Quality,Medium,2,,Various,Various,"$12,000.00",$-,Unknown,,Many tributaries connect directly to Howards creek without trapping of gross solids in foothill fans or swamps,,
WAP_2025_08_00628,,Multiple,W2/9,multiple,Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to enhance stream stability and Turbidity reduction performance through establishment of sediment traps.,Water Quality,Medium,2,,Various,Various,"$12,000.00",$-,Unknown,,Many tributaries connect directly to Howards creek without trapping of gross solids in foothill fans or swamps,,
WAP_2025_08_00629,,Reach 1,W3/1,R1/1,Wattle Creek WAP 2005,Unknown,Null,Investigate opportunities to enhance is and Turbidity reduction performance through sed pond and stored event management,Water Quality,Medium,2,,Null,Null,"$17,500.00",$-,Unknown,,Greens Swamp performing a major water quality improvement function,,
WAP_2025_08_00630,101,Unknown,0304_045,Unknown,Wimmera River WAP 2002 - Reach 6.2,David Hodgett,5356 9328,Control multiple active headcuts,Stability,High,3,WCMA,686310,5901695,"$16,970.00","$21,950.00",Completed,,,,
WAP_2025_08_00631,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Null,Null,$-,$-,Planning,,Between the boundary fence 500m downstream of Joel Joel hall and Vances vrossing road,,
WAP_2025_08_00632,,Unknown,Unknown,Unknown,Wimmera River WAP 2002 - Reach 6.2,Unknown,Null,Fence left and right banks as required. Provide off stream watering points for stock as necessary,Fencing,Medium,2,WCMA,Null,Null,$-,$-,Planning,,From the downstream end of reach 6.2 to the boundary fence 500m downstream of Joel Joel hall,,
WAP_2025_08_00633,,Wimmera River,Unknown,Unknown,Wimmera River WAP 2002 - Reach 6.2,Rupert Bibby,03 5357 4228,Reintroduce LWD for habitat value,Reintroduce Large Woody Debris,Medium,2,WCMA,679069,5900229,$-,$-,Planning,,Between the boundary fence 500m downstream of Joel Joel hall and Vances vrossing road,,
WAP_2025_08_00634,13,Astons Scour,Unknown,Unknown,Wimmera River WAP 2002 - Reach 6.2,Dominic Browne,5356 9344,Repair drop structure,Stability,High,3,WCMA,685351,5901712,"$16,180.00","$21,160.00",Completed,,,,
WAP_2025_08_00635,138,Astons Scour,Unknown,Unknown,Wimmera River WAP 2002 - Reach 6.2,Martin Dean,5356 9314,Stabilise erosion heads,Stability,High,3,WCMA,685498,5902133,"$73,880.00","$101,500.00",Completed,,,,
WAP_2025_08_00636,142,Astons Scour,Unknown,Unknown,Wimmera River WAP 2002 - Reach 6.2,Colin Dean,5356 9314,Repair drop structure,Stability,High,3,WCMA,683766,5902504,"$8,670.00","$12,860.00",Completed,,,,
WAP_2025_08_00637,938,Astons Scour,Unknown,Unknown,Wimmera River WAP 2002 - Reach 6.2,Dominic Browne,5356 9344,Stabilise erosion head,Stability,High,3,WCMA,685498,5902133,"$10,185.00","$9,790.00",Completed,,,,
WAP_2025_08_00638,,Reach 2.1,2.1.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Fence both sides of river from Hanging Swamp to the Little Wimmera Road crossing (apporximately 225m) if stock have access,Fencing,High,3,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00639,,Reach 2.1,2.1.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Investigate future activities in adjacent plantation to determine possible impacts on swamp,Investigate,High,3,,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00640,,Reach 2.1,2.1.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,"Monitor the rate of movement of the erosion heads through the swamp using ground survey (including pegs in ground, photos, and measurement)",Monitor,High,3,,Null,Null,$-,$-,Unknown,,Surveyed again in 2004. Needs comparing with 2002 suevey. Willows and erosion heads to resolve - loss of swamp potential . Monitor,,
WAP_2025_08_00641,,Reach 2.1,2.1.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Monitor movement of erosion heads among exotic vegetation,Monitor,High,3,,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00642,,Reach 2.1,2.1.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Selective poisoning/removal of willows in reach pending results of monitoring. Any actions here will depend on outcomesof monitoring heads on edge of the swamp,Weed Control,High,3,,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00643,,Reach 2.1,2.1.2,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Determine whether stock access the section upstream of the culvert and fence if required,Fencing,Low,1,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00644,,Reach 2.1,2.1.2,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Monitor for stability and pest plants from upstream in short section below confluence with Tom The Tailor Creek,Stability,Low,1,,Null,Null,$-,$-,Unknown,,,,
WAP_2025_08_00645,,Reach 2.2,2.2.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Install fencing on both sides of river to restrict stock access,Fencing,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00646,,Reach 2.2,2.2.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Fence out the left bank (400m) and repair damaged sections of the right fence,Fencing,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00647,,Reach 2.2,2.2.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Poison and follow up removal of willows and poplars through reach over approximately 400m,Removal of Vegetation,Medium,2,,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00648,,Reach 2.2,2.2.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,"Monitor and control, if necessary, erosion heads currently located among some willow roots",Stability,Medium,2,,Null,Null,$-,$-,Unknown,,,,
WAP_2025_08_00649,,Reach 2.2,2.2.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Longitudinal bed survey,Stability,Medium,2,,Null,Null,$-,$-,Unknown,,,,
WAP_2025_08_00650,,Reach 2.2,2.2.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Monitor erosion heads and implement stabilisation measures where required,Stability,Medium,2,,Null,Null,$-,$-,Unknown,,,,
WAP_2025_08_00651,,Reach 2.3,2.3.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,"Within the section dominated by willows and hawthorn, remove exotic vegetation and fence and revegetate (approx 600m)",Weed Control,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00652,,Reach 2.3,2.3.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Manage erosion heads among the willow roots to ensure they don’t progress into the stable upstream section of the reach,Stability,Medium,2,,Null,Null,$-,$-,Unknown,,,,
WAP_2025_08_00653,,Reach 2.3,2.3.2,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Fencing and revegetation at start of reach to protect vulnerable banks (approx 190m either side),Fencing & Revegetation,Low,1,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00654,,Reach 2.3,2.3.2,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,"Fence and revegetate other unfenced sections of river (300m right bank, 600m left bank)",Fencing & Revegetation,Low,1,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00655,,Reach 2.4,2.4.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,From drop structure to downstream end of section where river reverts to swamp complete fencing on both banks (approx 1100m total) increasing width,Fencing,High,3,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00656,,Reach 2.4,2.4.1,Unknown,Wimmera River WAP 2003 - Reach 2,Unknown,Null,Revegetate left and right banks,Revegetation,High,3,,Null,Null,$-,$-,Planning,,,,
